epoch,lr-Adam,step,test_mse,train_mse,val_mse
,0.0005,0,,,
0,,0,,,155566.40625
,0.0004995066821070679,1,,,
1,,1,,,155501.671875
,0.0004980286753286195,2,,,
2,,2,,,155429.90625
,0.0004955718126821722,3,,,
3,,3,,,155347.34375
,0.0004921457902821578,4,,,
4,,4,,,155263.71875
,0.00048776412907378846,5,,,
5,,5,,,155172.375
,0.0004824441214720629,6,,,
6,,6,,,155078.234375
,0.00047620676311650495,7,,,
7,,7,,,154971.796875
,0.0004690766700109659,8,,,
8,,8,,,154851.09375
,0.00046108198137550377,9,,,
9,,9,,,154715.3125
,0.0004522542485937368,10,,,
10,,10,,,154570.171875
,0.00044262831069394727,11,,,
11,,11,,,154412.28125
,0.0004322421568553528,12,,,
12,,12,,,154251.59375
,0.00042113677648217214,13,,,
13,,13,,,154088.8125
,0.0004093559974371724,14,,,
14,,14,,,153924.453125
,0.0003969463130731183,15,,,
15,,15,,,153771.375
,0.0003839566987447491,16,,,
16,,16,,,153625.59375
,0.0003704384185254288,17,,,
17,,17,,,153485.859375
,0.0003564448228912681,18,,,
18,,18,,,153356.15625
,0.00034203113817116946,19,,,
19,,19,,,153231.75
,0.00032725424859373676,20,,,
20,,20,,,153114.265625
,0.00031217247179121356,21,,,
21,,21,,,153004.328125
,0.0002968453286464311,22,,,
22,,22,,,152901.125
,0.000281333308391076,23,,,
23,,23,,,152804.265625
,0.0002656976298823283,24,,,
24,,24,,,152712.6875
,0.0002499999999999999,25,,,
25,,25,,,152626.578125
,0.00023430237011767157,26,,,
26,,26,,,152545.6875
,0.00021866669160892387,27,,,
27,,27,,,152470.859375
,0.00020315467135356878,28,,,
28,,28,,,152402.4375
,0.00018782752820878623,29,,,
29,,29,,,152339.90625
,0.00017274575140626317,30,,,
30,,30,,,152282.8125
,0.00015796886182883053,31,,,
31,,31,,,152230.96875
,0.00014355517710873178,32,,,
32,,32,,,152184.171875
,0.0001295615814745711,33,,,
33,,33,,,152142.234375
,0.00011604330125525073,34,,,
34,,34,,,152104.890625
,0.00010305368692688169,35,,,
35,,35,,,152071.953125
,9.064400256282751e-05,36,,,
36,,36,,,152043.140625
,7.886322351782778e-05,37,,,
37,,37,,,152018.234375
,6.775784314464713e-05,38,,,
38,,38,,,151996.90625
,5.737168930605268e-05,39,,,
39,,39,,,151978.96875
,4.774575140626313e-05,40,,,
40,,40,,,151964.109375
,3.891801862449626e-05,41,,,
41,,41,,,151952.0625
,3.0923329989034086e-05,42,,,
42,,42,,,151942.53125
,2.3793236883495147e-05,43,,,
43,,43,,,151935.203125
,1.7555878527937153e-05,44,,,
44,,44,,,151929.859375
,1.2235870926211609e-05,45,,,
45,,45,,,151926.140625
,7.854209717842254e-06,46,,,
46,,46,,,151923.75
,4.428187317827817e-06,47,,,
47,,47,,,151922.40625
,1.9713246713805574e-06,48,,,
48,,48,,,151921.796875
,4.933178929321099e-07,49,,,
49,,49,,63338.49609375,
49,,49,,,151921.671875
50,,50,167699.234375,,
